year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,Nationwide,Total,Total,66.53,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,No Education,51.24,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Below Primary Education,53.24,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Primary Education,74.4,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Lower Secondary Education,61.56,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Upper Secondary Education - General Track,67.54,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Upper Secondary Education - Vocational Track,68.18,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Upper Secondary Education - Academic Track,29.63,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Higher Education - Academic Track,84.04,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Higher Education - Vocational Track,83.24,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Higher Education - Teacher Education Track,72.57,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,Other Education,92.23,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,Total,No Data,81.92,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Total,66.69,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,No Education,53.85,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Below Primary Education,50.42,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Primary Education,72.65,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Lower Secondary Education,62.22,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Upper Secondary Education - General Track,61.65,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,67.34,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Upper Secondary Education - Academic Track,28.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Higher Education - Academic Track,83.26,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Higher Education - Vocational Track,82.02,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Higher Education - Teacher Education Track,68.89,Percentage,National Statistical Office of Thailand
2561,Quarter 1,Nationwide,ในเขตเทศบาล,Other Education,90.17,Percentage,National Statistical Office of Thailand
